Date,Y
2015/10/19,15.206667
2015/10/20,14.202
2015/10/21,14.006
2015/10/22,14.114667
2015/10/23,13.939333
2015/10/26,14.350667
2015/10/27,14.023333
2015/10/28,14.197333
2015/10/29,14.108667
2015/10/30,13.795333
2015/11/2,14.252667
2015/11/3,13.89
2015/11/4,15.442
2015/11/5,15.451333
2015/11/6,15.490667
2015/11/9,15.022
2015/11/10,14.433333
2015/11/11,14.605333
2015/11/12,14.196
2015/11/13,13.812667
2015/11/16,14.287333
2015/11/17,14.266667
2015/11/18,14.738
2015/11/19,14.786667
2015/11/20,14.667333
2015/11/23,14.516667
2015/11/24,14.55
2015/11/25,15.309333
2015/11/27,15.440667
2015/11/30,15.350667
2015/12/1,15.812667
2015/12/2,15.466
2015/12/3,15.514
2015/12/4,15.358667
2015/12/7,15.408667
2015/12/8,15.114667
2015/12/9,14.968
2015/12/10,15.138
2015/12/11,14.468
2015/12/14,14.572
2015/12/15,14.739333
2015/12/16,15.634
2015/12/17,15.559333
2015/12/18,15.364
2015/12/21,15.504
2015/12/22,15.33
2015/12/23,15.313333
2015/12/24,15.371333
2015/12/28,15.263333
2015/12/29,15.812667
2015/12/30,15.872667
2015/12/31,16.000668
2016/1/4,14.894
2016/1/5,14.895333
2016/1/6,14.602667
2016/1/7,14.376667
2016/1/8,14.066667
2016/1/11,13.856667
2016/1/12,13.998
2016/1/13,13.354
2016/1/14,13.745333
2016/1/15,13.666
2016/1/19,13.648
2016/1/20,13.246667
2016/1/21,13.331333
2016/1/22,13.503333
2016/1/25,13.092
2016/1/26,12.904
2016/1/27,12.538
2016/1/28,12.646667
2016/1/29,12.746667
2016/2/1,13.129333
2016/2/2,12.185333
2016/2/3,11.565333
2016/2/4,11.688667
2016/2/5,10.84
2016/2/8,9.866
2016/2/9,9.883333
2016/2/10,9.578
2016/2/11,10.031333
2016/2/12,10.069333
2016/2/16,10.344667
2016/2/17,11.245333
2016/2/18,11.118
2016/2/19,11.105333
2016/2/22,11.849333
2016/2/23,11.814
2016/2/24,11.933333
2016/2/25,12.495333
2016/2/26,12.689333
2016/2/29,12.795333
2016/3/1,12.423333
2016/3/2,12.556
2016/3/3,13.049333
2016/3/4,13.402667
2016/3/7,13.686
2016/3/8,13.506667
2016/3/9,13.914667
2016/3/10,13.678667
2016/3/11,13.833333
2016/3/14,14.343333
2016/3/15,14.556
2016/3/16,14.795333
2016/3/17,15.092
2016/3/18,15.516
2016/3/21,15.888
2016/3/22,15.616
2016/3/23,14.838667
2016/3/24,15.183333
2016/3/28,15.350667
2016/3/29,15.342
2016/3/30,15.126
2016/3/31,15.318
2016/4/1,15.839333
2016/4/4,16.466
2016/4/5,17.031334
2016/4/6,17.694668
2016/4/7,17.146667
2016/4/8,16.671333
2016/4/11,16.661333
2016/4/12,16.521334
2016/4/13,16.968666
2016/4/14,16.790667
2016/4/15,16.967333
2016/4/18,16.925333
2016/4/19,16.491333
2016/4/20,16.664667
2016/4/21,16.552668
2016/4/22,16.916668
2016/4/25,16.788
2016/4/26,16.916
2016/4/27,16.764668
2016/4/28,16.514
2016/4/29,16.050667
2016/5/2,16.120001
2016/5/3,15.488
2016/5/4,14.837333
2016/5/5,14.102
2016/5/6,14.328667
2016/5/9,13.928
2016/5/10,13.912667
2016/5/11,13.930667
2016/5/12,13.818667
2016/5/13,13.840667
2016/5/16,13.886
2016/5/17,13.644
2016/5/18,14.078
2016/5/19,14.347333
2016/5/20,14.685333
2016/5/23,14.414667
2016/5/24,14.527333
2016/5/25,14.638667
2016/5/26,15.008
2016/5/27,14.869333
2016/5/31,14.882
